0;THE EPISODE WITH THE GREMLIN|ON THE SIDE OF THE SCHOOL BUS|IS A SPOOF OF WHAT MOVIE?;THE SHINING;THE TWILIGHT ZONE;I KNOW WHAT YOU|DID LAST SUMMER;THE EVIL DEAD;page01;18-SimpsonsHalloweenSpecials.csv
0;WHEN HOMER BUYS THE POSSESSED|KRUSTY THE CLOWN DOLL, WHAT|DOES HE GET FOR FREE?;A KICK IN THE|PANTS;DUFF;FROGURT;ICE CREAM;page01;18-SimpsonsHalloweenSpecials.csv
0;WHO IS PART OF THE JURY WHEN|HOMER IS ON TRIAL FOR EATING|THE FORBIDDEN DONUT?;BENEDICT ARNOLD;LIZZIE BORDEN;THE PHILADELPHIA|FLYERS;ALL OF THE ABOVE;page01;18-SimpsonsHalloweenSpecials.csv
0;IN THE EPISODE WITH THE|GREMLIN ON THE BUS, WHAT IS|WRITTEN ON MARTIN'S T-SHIRT?;MY LITTLE PONY;I'M A PRINCESS;WANG COMPUTERS;FANCY BOY;page01;18-SimpsonsHalloweenSpecials.csv
0;WHO IS THE HEAD VAMPIRE?;MR. BURNS;GRAMPA;MAGGIE;MARGE;page01;18-SimpsonsHalloweenSpecials.csv
0;IN THE EPISODE WHERE HOMER|GETS A HAIR TRANSPLANT, WHY|DOES HOMER WANT TO KILL BART?;BART WITNESSED|SNAKE ROB THE|KWIK-E-MART;HOMER WAS TRYING|TO KILL BART'S|EVIL TWIN;HOMER THINKS BART|IS TRYING TO KILL|HIM;BART TAKES|HOMER'S LAST BEER;page01;18-SimpsonsHalloweenSpecials.csv
0;WHO IS THE VOICE OF THE|SIMPSONS NEW HI-TECH SECURITY|SYSTEM?;ALEC BALDWIN;DUSTIN HOFFMAN;PIERCE BROSNAN;SEAN CONNERY;page01;18-SimpsonsHalloweenSpecials.csv
0;WHAT'S WRONG WITH THE SANDWICH|THAT HOMER WISHES FOR IN THE|MONKEY'S PAW EPISODE?;IT'S EVIL;THERE'S NO CHEESE;THE BREAD IS OLD;THE MEAT'S A|LITTLE DRY;page01;18-SimpsonsHalloweenSpecials.csv
0;WHY DO THE PEOPLE OF LISA'S|WORLD (CREATED ON HER TOOTH)|ATTACK BART?;HE DESTOYED PART|OF THEIR WORLD;HE'S MEAN TO LISA;THEY ARE EVIL;THEY ARE TRYING|TO TAKE OVER THE|WORLD;page01;18-SimpsonsHalloweenSpecials.csv
0;COMPLETE THE QUOTE "NO BEER|AND NO TV, MAKE HOMER..."?;GO CRAZY;CRY;BINGE EAT;GO DANCING;page01;18-SimpsonsHalloweenSpecials.csv
