2;REVEREND LOVEJOY'S FIRST NAME|IS?;THOMAS;TIMOTHY;DANA;TOMMY;page02;01-SimpsonsCharaters.csv
4;REVEREND LOVEJOY'S WIFE IS|NAMED?;KELLY;HENRIETTA;DANA;HELEN;page02;01-SimpsonsCharaters.csv
1;DR. HIBBERT'S FIRST NAME IS?;JULIUS;DANA;JONATHAN;FREDERICK;page02;01-SimpsonsCharaters.csv
4;ELEANOR ABERNATHY IS BETTER|KNOWN AS?;LISA'S TEACHER;MARGE'S KNITTING|CIRCLE FRIEND;PRINCIPAL|SKINNER'S FIRST|WIFE;THE CRAZY|CAT-THROWING LADY;page02;01-SimpsonsCharaters.csv
2;MARGE'S MOTHER IS NAMED?;JACKIE|BOUNTIVILLE;JACQUELINE|BOUVIER;DANA GRAHAM;JUSTINE BETTERMAN;page02;01-SimpsonsCharaters.csv
4;MR. BURN'S FIRST NAME IS?;MONTGOMERY;DANA;CHRISTOPHER;CHARLES;page02;01-SimpsonsCharaters.csv
2;HOMER'S FRIEND CARL'S LAST|NAME IS?;CARSON;CARLSON;CARLIN;COTTER;page02;01-SimpsonsCharaters.csv
2;COMIC STORE GUY'S ACTUAL NAME|IS?;JEFF ALLENVILLE;JEFF ALBERTSON;JAY THOMAS;JEROME GOODMAN;page02;01-SimpsonsCharaters.csv
\\0;\\COMEDIAN ERIC IDLE, WHO|PORTRAYED A DOCUMENTARY|FILMAKER IN THE EPISODE|TITLED; "SCUSE ME WHILE I MISS|THE SKY" CHARATER'S NAME WAS?;DAMION DAMIONSON;DELWORTH ECLAIR;FREDRICK|MONEYWORTH;DECLAN DESMOND;page02;01-SimpsonsCharaters.csv
4;NED FLANDERS' WIFE WAS NAMED?;MADELINE;DANA;MARISSA;MAUDE;page02;01-SimpsonsCharaters.csv
3;THE FIRST NAME OF PROFESSOR|FRINK IS?;JONATHAN;JEFFREY;JOHN;JEFF;page02;01-SimpsonsCharaters.csv
2;NED FLANDERS' VEGAS WIFE WAS|NAMED?;JENNIFER;GINGER;DANA;DEBORAH;page02;01-SimpsonsCharaters.csv
4;DR. HIBBERT'S WIFE IS NAMED?;DEANNA;GERTRUDE;AGNUS;BERNICE;page02;01-SimpsonsCharaters.csv
4;LISA'S TEACHER MS. HOOVER HAS|THE FIRST NAME OF?;ELIZA;TRISHA;DANA;ELIZABETH;page02;01-SimpsonsCharaters.csv
2;UNSUCCESSFUL SALESMAN GIL HAS|THE LAST NAME OF?;LYNCH;GUNDERSON;GRAPEVILLE;WHITE;page02;01-SimpsonsCharaters.csv
3;JIMBO, SPRINGFIELD ELEMENTARY|SCHOOL BULLY, HAS A LAST NAME|OF?;JONAS;JOHNSON;JONES;JOHASSONBERG;page02;01-SimpsonsCharaters.csv
1;MR. LARGO, SPRINGFIELD|ELEMENTARY SCHOOL MUSIC|TEACHER, HAS A FIRST NAME OF?;DEWEY;LIONEL;HUGO;TRAVIS;page02;01-SimpsonsCharaters.csv
4;THE LAST NAME OF HOMER'S|FELLOW EMPLOYEE FRIEND LENNY|IS?;CARLSON;LAMBERTH;CHRISTENSEN;LEONARD;page02;01-SimpsonsCharaters.csv
1;THE LAST NAME OF OTTO,|SPRINGFIELD ELEMENTARY|SCHOOL'S BUS DRIVER, IS?;MANN;MUDD;MANVILLE;MASTERSON;page02;01-SimpsonsCharaters.csv
2;THE SEA CAPTAIN'S REAL NAME|IS?;CAPTAIN HARRY|CHEWSTER;CAPTAIN HORATIO|MC CALLISTER;CAPTAIN MARVIN|LENNARD;CAPTAIN THEODORE|MC CHARLES;page02;01-SimpsonsCharaters.csv
4;THE LAST NAME OF DR. NICK IS?;RODRIGUEZ;SMITH;THOMPSON;RIVIERA;page02;01-SimpsonsCharaters.csv
3;HOMER'S VEGAS WIFE WAS NAMED?;BRITNEY;BILLIE;AMBER;JACKIE;page02;01-SimpsonsCharaters.csv
4;HOMER'S MOTHER WAS NAMED?;MELISSA;AMBER;DEBORAH;MONA;page02;01-SimpsonsCharaters.csv
2;CLETUS AND BRANDINE, THE|SLACK-JAWED YOKEL AND HIS|WIFE, SHARE THE LAST NAME OF?;TEETHINGTON;SPUCKLER;FARRIS;SUMPINGLER;page02;01-SimpsonsCharaters.csv
4;RALPH WIGGUM, SON OF POLICE|CHIEF CLANCY WIGGUM, HAS A|MOTHER NAMED?;SAMANTHA;DEANNA;DANA;SARAH;page02;01-SimpsonsCharaters.csv
